#2-THETA,#INTENSITY
1.95,53
2,51
2.05,74
2.1,43
2.15,27
2.2,51
2.25,34
2.3,27
2.35,43
2.4,43
2.45,41
2.5,40
2.55,30
2.6,13
2.65,34
2.7,19
2.75,28
2.8,21
2.85,37
2.9,25
2.95,21
3,23
3.05,27
3.1,21
3.15,23
3.2,20
3.25,24
3.3,21
3.35,18
3.4,21
3.45,21
3.5,26
3.55,21
3.6,20
3.65,22
3.7,24
3.75,20
3.8,16
3.85,7
3.9,15
3.95,16
4,16
4.05,17
4.1,11
4.15,15
4.2,11
4.25,19
4.3,14
4.35,5
4.4,16
4.45,17
4.5,12
4.55,16
4.6,15
4.65,9
4.7,15
4.75,15
4.8,15
4.85,22
4.9,9
4.95,17
5,21
5.05,17
5.1,17
5.15,19
5.2,21
5.25,11
5.3,25
5.35,14
5.4,14
5.45,20
5.5,19
5.55,26
5.6,22
5.65,28
5.7,35
5.75,25
5.8,26
5.85,32
5.9,29
5.95,28
6,41
6.05,32
6.1,47
6.15,44
6.2,68
6.25,75
6.3,81
6.35,67
6.4,75
6.45,81
6.5,77
6.55,78
6.6,74
6.65,70
6.7,66
6.75,64
6.8,61
6.85,41
6.9,50
6.95,35
7,33
7.05,28
7.1,33
7.15,31
7.2,28
7.25,24
7.3,23
7.35,27
7.4,18
7.45,19
7.5,19
7.55,25
7.6,22
7.65,21
7.7,14
7.75,12
7.8,15
7.85,18
7.9,14
7.95,20
8,19
8.05,21
8.1,15
8.15,15
8.2,14
8.25,13
8.3,16
8.35,16
8.4,10
8.45,16
8.5,14
8.55,15
8.6,11
8.65,17
8.7,16
8.75,17
8.8,15
8.85,13
8.9,18
8.95,19
9,15
9.05,13
9.1,16
9.15,13
9.2,16
9.25,14
9.3,15
9.35,13
9.4,15
9.45,14
9.5,14
9.55,18
9.6,11
9.65,17
9.7,12
9.75,13
9.8,19
9.85,19
9.9,15
9.95,12
10,12
10.05,16
10.1,15
10.15,17
10.2,20
10.25,14
10.3,11
10.35,9
10.4,15
10.45,16
10.5,20
10.55,17
10.6,12
10.65,19
10.7,16
10.75,20
10.8,15
10.85,15
10.9,16
10.95,13
11,18
11.05,23
11.1,12
11.15,18
11.2,15
11.25,16
11.3,17
11.35,20
11.4,17
11.45,23
11.5,34
11.55,72
11.6,83
11.65,101
11.7,87
11.75,85
11.8,55
11.85,43
11.9,37
11.95,30
12,36
12.05,36
12.1,30
12.15,32
12.2,34
12.25,29
12.3,39
12.35,40
12.4,40
12.45,35
12.5,34
12.55,50
12.6,65
12.65,108
12.7,292
12.75,647
12.8,998
12.85,1243
12.9,1290
12.95,1113
13,722
13.05,384
13.1,143
13.15,69
13.2,37
13.25,30
13.3,24
13.35,28
13.4,25
13.45,26
13.5,21
13.55,19
13.6,23
13.65,18
13.7,20
13.75,20
13.8,17
13.85,23
13.9,15
13.95,17
14,14
14.05,20
14.1,20
14.15,15
14.2,17
14.25,21
14.3,14
14.35,19
14.4,19
14.45,15
14.5,16
14.55,21
14.6,12
14.65,20
14.7,16
14.75,18
14.8,16
14.85,19
14.9,19
14.95,16
15,19
15.05,20
15.1,21
15.15,12
15.2,22
15.25,18
15.3,18
15.35,16
15.4,19
15.45,16
15.5,16
15.55,19
15.6,19
15.65,22
15.7,18
15.75,24
15.8,15
15.85,20
15.9,17
15.95,21
16,24
16.05,25
16.1,22
16.15,23
16.2,26
16.25,20
16.3,25
16.35,22
16.4,20
16.45,23
16.5,24
16.55,24
16.6,20
16.65,25
16.7,25
16.75,23
16.8,24
16.85,32
16.9,26
16.95,17
17,23
17.05,20
17.1,22
17.15,25
17.2,24
17.25,21
17.3,28
17.35,27
17.4,28
17.45,27
17.5,16
17.55,23
17.6,28
17.65,28
17.7,26
17.75,25
17.8,25
17.85,26
17.9,24
17.95,20
18,30
18.05,26
18.1,26
18.15,27
18.2,26
18.25,26
18.3,24
18.35,23
18.4,24
18.45,28
18.5,21
18.55,18
18.6,22
18.65,25
18.7,21
18.75,29
18.8,24
18.85,23
18.9,24
18.95,23
19,28
19.05,31
19.1,25
19.15,22
19.2,27
19.25,20
19.3,22
19.35,28
19.4,22
19.45,20
19.5,30
19.55,24
19.6,27
19.65,25
19.7,20
19.75,24
19.8,25
19.85,27
19.9,24
19.95,26
20,22
20.05,25
20.1,25
20.15,30
20.2,38
20.25,40
20.3,43
20.35,42
20.4,35
20.45,35
20.5,35
20.55,28
20.6,29
20.65,26
20.7,30
20.75,30
20.8,27
20.85,33
20.9,27
20.95,27
21,30
21.05,29
21.1,25
21.15,30
21.2,28
21.25,31
21.3,27
21.35,28
21.4,25
21.45,29
21.5,26
21.55,29
21.6,28
21.65,34
21.7,30
21.75,27
21.8,28
21.85,33
21.9,31
21.95,33
22,33
22.05,33
22.1,37
22.15,33
22.2,52
22.25,101
22.3,185
22.35,264
22.4,350
22.45,386
22.5,383
22.55,289
22.6,184
22.65,126
22.7,71
22.75,39
22.8,29
22.85,31
22.9,28
22.95,26
23,30
23.05,28
23.1,28
23.15,26
23.2,27
23.25,23
23.3,32
23.35,39
23.4,48
23.45,47
23.5,52
23.55,49
23.6,48
23.65,35
23.7,31
23.75,27
23.8,29
23.85,26
23.9,28
23.95,31
24,27
24.05,31
24.1,28
24.15,32
24.2,36
24.25,44
24.3,52
24.35,42
24.4,41
24.45,36
24.5,33
24.55,31
24.6,24
24.65,30
24.7,32
24.75,29
24.8,28
24.85,29
24.9,27
24.95,27
25,36
25.05,28
25.1,26
25.15,28
25.2,24
25.25,32
25.3,30
25.35,33
25.4,33
25.45,34
25.5,37
25.55,46
25.6,49
25.65,53
25.7,58
25.75,112
25.8,181
25.85,263
25.9,378
25.95,438
26,439
26.05,380
26.1,267
26.15,199
26.2,114
26.25,62
26.3,38
26.35,28
26.4,29
26.45,25
26.5,24
26.55,26
26.6,31
26.65,28
26.7,25
26.75,28
26.8,21
26.85,28
26.9,23
26.95,18
27,24
27.05,21
27.1,24
27.15,20
27.2,26
27.25,22
27.3,27
27.35,25
27.4,21
27.45,28
27.5,25
27.55,21
27.6,20
27.65,17
27.7,24
27.75,21
27.8,23
27.85,23
27.9,19
27.95,24
28,27
28.05,24
28.1,29
28.15,26
28.2,27
28.25,25
28.3,23
28.35,25
28.4,23
28.45,26
28.5,24
28.55,26
28.6,30
28.65,29
28.7,45
28.75,51
28.8,62
28.85,69
28.9,71
28.95,66
29,48
29.05,41
29.1,35
29.15,33
29.2,28
29.25,28
29.3,25
29.35,27
29.4,25
29.45,26
29.5,33
29.55,28
29.6,33
29.65,27
29.7,25
29.75,27
29.8,32
29.85,24
29.9,30
29.95,29
30,30
30.05,33
30.1,29
30.15,34
30.2,27
30.25,36
30.3,34
30.35,30
30.4,32
30.45,32
30.5,32
30.55,31
30.6,33
30.65,31
30.7,33
30.75,34
30.8,37
30.85,43
30.9,49
30.95,59
31,80
31.05,86
31.1,86
31.15,92
31.2,77
31.25,69
31.3,57
31.35,47
31.4,44
31.45,35
31.5,35
31.55,30
31.6,41
31.65,61
31.7,126
31.75,233
31.8,418
31.85,585
31.9,704
31.95,793
32,700
32.05,568
32.1,383
32.15,227
32.2,139
32.25,68
32.3,47
32.35,35
32.4,29
32.45,31
32.5,29
32.55,36
32.6,33
32.65,33
32.7,46
32.75,50
32.8,70
32.85,69
32.9,73
32.95,68
33,52
33.05,46
33.1,39
33.15,31
33.2,35
33.25,26
33.3,29
33.35,30
33.4,29
33.45,29
33.5,28
33.55,29
33.6,27
33.65,24
33.7,29
33.75,29
33.8,26
33.85,27
33.9,26
33.95,27
34,28
34.05,32
34.1,29
34.15,28
34.2,32
34.25,36
34.3,49
34.35,75
34.4,140
34.45,182
34.5,257
34.55,275
34.6,273
34.65,235
34.7,182
34.75,122
34.8,78
34.85,55
34.9,41
34.95,30
35,30
35.05,22
35.1,27
35.15,26
35.2,29
35.25,25
35.3,29
35.35,24
35.4,29
35.45,28
35.5,24
35.55,28
35.6,26
35.65,27
35.7,32
35.75,30
35.8,27
35.85,31
35.9,36
35.95,37
36,35
36.05,44
36.1,64
36.15,118
36.2,234
36.25,414
36.3,610
36.35,745
36.4,793
36.45,749
36.5,678
36.55,486
36.6,313
36.65,192
36.7,94
36.75,53
36.8,33
36.85,32
36.9,30
36.95,31
37,22
37.05,26
37.1,25
37.15,21
37.2,23
37.25,28
37.3,27
37.35,29
37.4,31
37.45,34
37.5,35
37.55,33
37.6,30
37.65,29
37.7,30
37.75,22
37.8,25
37.85,26
37.9,21
37.95,23
38,23
38.05,23
38.1,23
38.15,25
38.2,23
38.25,27
38.3,27
38.35,20
38.4,21
38.45,20
38.5,19
38.55,21
38.6,21
38.65,28
38.7,20
38.75,24
38.8,22
38.85,20
38.9,17
38.95,25
39,19
39.05,25
39.1,19
39.15,24
39.2,22
39.25,28
39.3,31
39.35,32
39.4,33
39.45,25
39.5,28
39.55,27
39.6,24
39.65,19
39.7,15
39.75,22
39.8,20
39.85,22
39.9,19
39.95,18
40,23
40.05,15
40.1,14
40.15,16
40.2,22
40.25,20
40.3,17
40.35,18
40.4,24
40.45,22
40.5,20
40.55,19
40.6,23
40.65,22
40.7,17
40.75,21
40.8,24
40.85,18
40.9,21
40.95,20
41,18
41.05,23
41.1,32
41.15,23
41.2,25
41.25,27
41.3,41
41.35,47
41.4,88
41.45,131
41.5,192
41.55,219
41.6,228
41.65,223
41.7,195
41.75,159
41.8,95
41.85,63
41.9,36
41.95,30
42,29
42.05,20
42.1,20
42.15,20
42.2,19
42.25,23
42.3,21
42.35,20
42.4,18
42.45,21
42.5,21
42.55,22
42.6,24
42.65,21
42.7,23
42.75,22
42.8,24
42.85,27
42.9,23
42.95,19
43,22
43.05,26
43.1,23
43.15,24
43.2,21
43.25,17
43.3,23
43.35,20
43.4,21
43.45,16
43.5,23
43.55,14
43.6,21
43.65,17
43.7,19
43.75,16
43.8,17
43.85,15
43.9,19
43.95,23
44,23
44.05,27
44.1,20
44.15,23
44.2,20
44.25,34
44.3,29
44.35,31
44.4,27
44.45,22
44.5,26
44.55,26
44.6,21
44.65,23
44.7,20
44.75,30
44.8,21
44.85,23
44.9,23
44.95,18
45,22
45.05,26
45.1,23
45.15,25
45.2,22
45.25,25
45.3,21
45.35,25
45.4,24
45.45,22
45.5,24
45.55,19
45.6,25
45.65,38
45.7,51
45.75,55
45.8,70
45.85,88
45.9,76
45.95,81
46,55
46.05,62
46.1,38
46.15,31
46.2,28
46.25,24
46.3,25
46.35,30
46.4,29
46.45,25
46.5,21
46.55,27
46.6,23
46.65,22
46.7,18
46.75,22
46.8,21
46.85,21
46.9,25
46.95,22
47,23
47.05,23
47.1,21
47.15,28
47.2,28
47.25,26
47.3,27
47.35,28
47.4,31
47.45,24
47.5,29
47.55,31
47.6,43
47.65,51
47.7,49
47.75,51
47.8,57
47.85,67
47.9,61
47.95,53
48,46
48.05,38
48.1,33
48.15,33
48.2,30
48.25,24
48.3,31
48.35,28
48.4,23
48.45,24
48.5,23
48.55,25
48.6,26
48.65,24
48.7,23
48.75,24
48.8,28
48.85,30
48.9,25
48.95,35
49,41
49.05,74
49.1,94
49.15,99
49.2,129
49.25,121
49.3,116
49.35,111
49.4,89
49.45,61
49.5,37
49.55,25
49.6,29
49.65,26
49.7,27
49.75,31
49.8,33
49.85,27
49.9,34
49.95,29
50,25
50.05,25
50.1,25
50.15,21
50.2,24
50.25,27
50.3,24
50.35,25
50.4,29
50.45,17
50.5,19
50.55,28
50.6,26
50.65,20
50.7,27
50.75,24
50.8,25
50.85,24
50.9,28
50.95,21
51,24
51.05,27
51.1,18
51.15,24
51.2,27
51.25,30
51.3,25
51.35,32
51.4,35
51.45,30
51.5,51
51.55,55
51.6,68
51.65,67
51.7,61
51.75,66
51.8,60
51.85,37
51.9,34
51.95,34
52,31
