phase	AMCSD #
Ca3SiO5	17809
CaAl2O4	17810
Portlandite	117
Portlandite	9874
Portlandite	9875
Portlandite	9876
Portlandite	9877
Portlandite	11777
Portlandite	12953
Portlandite	16656
Ettringite	9368
Ettringite	12178
Ettringite	14674
Aphthitalite	9708
Merwinite	294
Gypsum	4651
Gypsum	11093
Grossite	9210
Grossite	17823
Nordstrandite	9375
Nordstrandite	14701
Bayerite	9134
Bayerite	10649
Katoite	1827
Katoite	2791
Katoite	16002
Aragonite	233
Jennite	12177
Hatrurite	10872
Hatrurite	10938
Hatrurite	14729
Alite	17753
Kuzelite	14757
CaAl2(OH)8(H2O)2*1.84H2O	17822
Stratlingite	6404
Gibbsite	10761
Akermanite	17811
Akermanite	17812
Akermanite	7696
Akermanite	7697
Akermanite	7698
Akermanite	8030
Akermanite	8517
Akermanite	17151
Akermanite	14431
Akermanite	14432
Wustite	11314
Wustite	13893
Wustite	13894
Anhydrite	5117
Anhydrite	13866
Quartz	789
Quartz	4266
Quartz	6212
Quartz	6362
Quartz	11007
Quartz	12866
Quartz	15462
Corundum	9325
Corundum	9327
Corundum	9699
Corundum	10593
Corundum	10607
Corundum	12859
Corundum	12914
Corundum	12921
Corundum	14072
Corundum	14077
Corundum	15110
Corundum	17671
Rutile	1736
Rutile	1737
Rutile	5164
Rutile	9161
Rutile	9404
Rutile	11762
Calcite	98
Calcite	585
Calcite	984
Calcite	1327
Calcite	1328
Calcite	9873
Calcite	9890
Calcite	12867
Calcite	12868
Calcite	17650
Calcite	17593
Bassanite	6909
Bassanite	13867
Bassanite	13868
Bassanite	13869
Bassanite	13870
Periclase	501
Periclase	6901
Periclase	6902
Periclase	6903
Periclase	6904
Periclase	8038
Lime	8276
Lime	11283
Lime	14079
Arcanite	9456
Brownmillerite	3425
Brownmillerite	3426
Brownmillerite	3427
Brownmillerite	3428
Brownmillerite	3429
Brownmillerite	3430
Brownmillerite	3431
Brownmillerite	3432
Brownmillerite	3433
Brownmillerite	3434
Brownmillerite	3435
Brownmillerite	3436
Brownmillerite	3437
Brownmillerite	3438
Brownmillerite	3439
Brownmillerite	3440
Brownmillerite	3441
Brownmillerite	3442
Brownmillerite	17759
Brownmillerite	17766
Brownmillerite	17771
Al6Ca9O18	9531
Larnite	12179
Larnite	12180
Larnite	12181
Larnite	12182
Larnite	12183
Larnite	12184
Perovskite	2890
Perovskite	2891
Perovskite	2892
Perovskite	5501
Perovskite	6288
Perovskite	7754
Gehlenite	5090
Gehlenite	7694
Gehlenite	7695
Ca20Al32-2vMgvSivO68	17814
Ca8.5NaAl6O18	17813
Ca3SiO5	17826
