PIGMENT	AMCSD
Hematite	143
Aragonite	233
Diopside	340
Magnesite	389
Pirite	606
Whewellite	776
Weddellite	777
Quarzo	789
Calcite	984
Dolomite	1026
Enstatite	1201
Piropo	1213
tricalcium phiosphate	1257
Anortite	1286
Leucite	1556
Phlogopite	1810
Analcime	2062
Albite low	2264
red lead	3132
Sepiolite	4269
gypsum	4651
Anidrite	5117
Rutile	5164
Sodalite	5193
zinc white	5203
Microclino	5216
barite	5559
Glaucofane	6415
Clinocloro	7298
Azurite	8598
Epsomite	9290
Paratacamite	9525
Portlandite	9876
massicot	10011
lead white	10324
Goetite	10471
Clinoenstatite	10589
Orpiment	10733
Malachite	10795
Talco	10839
Cerussite	11016
Halite NaCl	11356
Cinabar	12137
Chabazite	12861
Sanidino	12862
Oro	13108
Zincite	15176
Ankerite	15665
chrome green	17802
Kaolinite	17947
Tenardite	18059
Barite	18846
Antigorite	19082
chrome yellow	19487
green earth	19600
Muscovite	19602
Ortoclasio	19651
